STATION_NAME,longitude,latitude
Dandenong,145.20964489573458,-37.98992085847031
Darebin,145.03862795787063,-37.774802842944226
Darling,145.06267893471139,-37.86866985111122
Deer Park,144.77122097903302,-37.77750382181719
Dennis,145.00871194682776,-37.77917984059562
Diamond Creek,145.158743930656,-37.67331585035478
Diggers Rest,144.7200510137667,-37.6277348206636
Dimboola,142.03186054725634,-36.45304166882983
Dingee,144.2310982391906,-36.36897277637365
Donnybrook,144.97016799836385,-37.542119836820504
Drouin,145.85578578007036,-38.136385903344184
Eaglehawk,144.24840317404633,-36.71849878041294
Eaglemont,145.05370893985082,-37.76375784437017
East Camberwell,145.0683299232455,-37.82574585195129
East Malvern,145.0693349401107,-37.876911850633675
East Richmond,144.99725995277697,-37.8264528424131
Echuca,144.75315317493045,-36.131097832879696
Edithvale,145.10853291305463,-38.03811985320944
Elmore,144.60748413806567,-36.494888803411854
Elsternwick,145.0009209280051,-37.88485984866069
Eltham,145.14782892386745,-37.71346385009135
Epping,145.03207393767192,-37.65215283941083
Epsom,144.32104614814233,-36.70632878780852
Essendon,144.9162039692201,-37.75599483362222
Euroa,145.56836295698128,-36.74889586973503
Fairfield,145.01680694521744,-37.779172840831016
Fawkner,144.96055596397306,-37.71466883487807
Ferntree Gully,145.2951768914322,-37.88157986533225
Flagstaff,144.95640695879285,-37.81171683949254
Flemington Bridge,144.93932799603374,-37.788123839981566
Flinders Street,144.96700297225232,-37.81830784053559
Footscray,144.90276092775937,-37.80137583661283
Frankston,145.1260158754828,-38.1432508558071
Gardenvale,145.004274919752,-37.89613484934967
Gardiner,145.05164292651756,-37.853085851855326
Garfield,145.67460479939652,-38.09118288843035
Geelong,144.35491503137365,-38.143865801531255
Ginifer,144.81090698162618,-37.75947882654084
Gisborne,144.59964502534365,-37.45919381360227
Glen Iris,145.0582289249202,-37.85929385123368
Glen Waverley,145.16306490288565,-37.87977185993511
Glenbervie,144.92093796928373,-37.74717383217401
Glenferrie,145.03644392176068,-37.82145285363399
Glenhuntly,145.04212890356308,-37.8897708502122
Glenroy,144.9172519726076,-37.704625832225126
Gowrie,144.95888494782966,-37.70073883379283
Greensborough,145.10816993524955,-37.70396884534279
Hallam,145.26977889460323,-38.01773086209367
Hampton,145.00122192381622,-37.93786284865105
Hartwell,145.07542291439432,-37.8437508538442
Hastings,145.185989849455,-38.30544085914008
Hawksburn,145.0021009611074,-37.844654845059
Hawthorn,145.02309391311013,-37.82182584867046
Heathcote Junction,145.027955987093,-37.3715408346999
Heatherdale,145.21393491905818,-37.81881385846409
Heathmont,145.24431190323472,-37.82783686000034
Heidelberg,145.0608661976469,-37.757089878424544
Heyington,145.0226399280287,-37.8346568468427
Highett,145.04163993890378,-37.948082851057016
Holmesglen,145.09034090115574,-37.87447485557758
Hoppers Crossing,144.70105299941915,-37.883256823209685
Horsham,142.2000055190851,-36.70744268277061
Hughesdale,145.076494491069,-37.89430370291874
Huntingdale,145.102403914585,-37.91097985810833
Hurstbridge,145.1920869305841,-37.63943985189078
Ivanhoe,145.04538394808142,-37.76889984247467
Jacana,144.91586199240717,-37.69511983366534
Jewell,144.95875496823518,-37.77483683643917
Jolimont,144.98388394120053,-37.81648684290191
Jordanville,145.1120949008091,-37.87358586153927
Kananook,145.13550989190148,-38.12140785596788
Kangaroo Flat,144.2489581788137,-36.795075780093036
Kensington,144.93047298648762,-37.7934728370431
Keon Park,145.01186695928024,-37.694496838438994
Kerang,143.9244583361321,-35.732924756003044
Kilmore East,144.98364902447173,-37.29370283442468
Kooyong,145.0331269265205,-37.83980785035744
Kyneton,144.45081809994448,-37.25842479968475
Laburnum,145.1406458994326,-37.82078686332069
Lalor,145.01741394383686,-37.665402839973915
Lara,144.41470004855324,-38.02176280470084
Laverton,144.772620995035,-37.86368082989408
Leawarra,145.13955687757584,-38.151991854495385
Lilydale,145.34823689987954,-37.755005864728865
Little River,144.49887500334856,-37.96279581182986
Longwarry,145.77025479583182,-38.112528895315464
Macaulay,144.9361189876241,-37.79456284005698
Macedon,144.56121904490692,-37.423489811962355
Macleod,145.06911294038926,-37.72627784273282
Malmsbury,144.37569811706544,-37.189907794770164
Malvern,145.029299935163,-37.86623685009969
Marshall,144.354939024465,-38.19871680001914
Maryborough,143.7422652517949,-37.05191075184738
Mckinnon,145.03822893072336,-37.910699850697775
Melbourne Central,144.96372796479707,-37.80959583973451
Melton,144.5725050389994,-37.70327281107498
Mentone,145.06524591349697,-37.98196185058525
Merinda Park,145.26349688161943,-38.07899686442997
Merlynston,144.9613179596436,-37.72092383334155
Merri,144.99300196896144,-37.77775983929964
Middle Brighton,144.99630492039648,-37.91512184786328
Middle Footscray,144.8913159575969,-37.80249283276308
Mitcham,145.19316091523544,-37.818030857961986
Moe,146.2606846915863,-38.17679393263242
Mont Albert,145.10556593197435,-37.81952885935201
Montmorency,145.12151292734984,-37.71526384800808
Moonee Ponds,144.91920796700606,-37.765799833640976
Moorabbin,145.0366889454862,-37.93480685029534
Mooroolbark,145.312841900031,-37.78472286392317
Mooroopna,145.35759402569877,-36.399113851545835
Mordialloc,145.0875599014891,-38.006494853589935
Moreland,144.96184313641794,-37.75410636813985
Morradoo,145.18950484246238,-38.353918858575824
Morwell,146.3967446639818,-38.2367409447334
Mount Waverley,145.12841889978878,-37.87526086084986
Murchison East,145.2408720124967,-36.61222084255023
Murrumbeena,145.06759093698076,-37.89030585349127
Nagambie,145.16055502512495,-36.78507784872383
Nar Nar Goon,145.57155281323082,-38.08157188208064
Narre Warren,145.3036118870067,-38.02762786260627
Watergardens,144.77386600019454,-37.70070382240155
Newmarket,144.92889198447787,-37.78689183610287
Newport,144.8835266111847,-37.8427106398973
Nhill,141.65384861021414,-36.33207664451724
Noble Park,145.1762168997584,-37.96653685927836
North Brighton,145.00260092023814,-37.90490285050306
North Geelong,144.35236302443994,-38.12247780356422
Terang,142.91126527520885,-38.236183719489176
North Melbourne,144.94183697143356,-37.80672183966028
North Richmond,144.9925619459658,-37.81006284521777
North Shore,144.36571803788016,-38.09729980260681
North Williamstown,144.88874796258995,-37.85668783220323
Northcote,144.99528796017594,-37.76985183759179
Nunawading,145.17420190768027,-37.820613861747646
Oak Park,144.9215409596714,-37.71803383085794
Oakleigh,145.08833523400327,-37.90033793664529
Officer,145.4109988624892,-38.0661298738214
Ormond,145.0395369195181,-37.90359385039291
Pakenham,145.48651682320434,-38.08053487724564
Parkdale,145.07630190204466,-37.993056852146005
Parliament,144.97341395622175,-37.81191584143862
Cobblebank,144.60399801495006,-37.71251881573188
Pascoe Vale,144.9282009670038,-37.73074183204612
Patterson,145.03548593890687,-37.92517585144707
Prahran,144.9898229603387,-37.84974984272236
Preston,145.00052193927075,-37.73872283660503
Keilor Plains,144.79381598674925,-37.72958882249879
Pyramid,144.11311734729483,-36.052967823640685
Regent,145.00273794268944,-37.728589837716164
Reservoir,145.00692494556418,-37.717000836391215
Richmond,144.98957995099295,-37.82394984315488
Riddells Creek,144.68026304724867,-37.46491381721018
Ringwood,145.2288219000154,-37.815955855817926
Ringwood East,145.24969592464848,-37.81198185769781
Ripponlea,144.9952319589644,-37.875909848513004
Riversdale,145.06961992133355,-37.83171085013353
Rochester,144.69899915057317,-36.36138282917886
Rockbank,144.65060300064593,-37.72907982023041
Rosanna,145.0661753021533,-37.74284635332991
Rosedale,146.78665959653804,-38.15654397390931
Royal Park,144.95187398883968,-37.78116983891888
Rushall,144.99241897313607,-37.783169841150205
Ruthven,145.009363941813,-37.708275836052366
Sale,147.0574015212858,-38.101454007868135
Sandown Park,145.1630059065845,-37.956680855703155
Sandringham,145.00459392456017,-37.95024384809363
Seaford,145.1282388963895,-38.10434485431908
Seaholme,144.84096396049105,-37.86782983235183
Seddon,144.89551695065026,-37.80915583314768
Seymour,145.1380970149736,-37.024625836669394
Shepparton,145.40495604939625,-36.38453087269987
Roxburgh Park,144.93557397842991,-37.63799183290128
Somerville,145.1763588913591,-38.22548285920044
South Geelong,144.35912803996382,-38.15848680243687
South Kensington,144.9253259918428,-37.799576834991825
South Yarra,144.99230296811123,-37.83822484319734
Southern Cross,144.952198945521,-37.81834084053488
Spotswood,144.88594795979398,-37.83063783316813
Springhurst,146.4707088914435,-36.186086933165896
Springvale,145.15351290077984,-37.94936685403797
St Albans,144.7996449852959,-37.7445958222035
Stony Point,145.22161083909322,-38.37403086305489
Stratford,147.08134253708545,-37.968750004563645
Strathmore,144.92732596114774,-37.74357983203738
Sunbury,144.72781603777761,-37.57934382165511
Sunshine,144.8323299996058,-37.78783782927034
Surrey Hills,145.09883393584272,-37.82405385906066
Swan Hill,143.5624753648696,-35.34146974577696
Syndal,145.1494639015548,-37.87626086222232
