SA2_NAME,2025-03-31,2025-06-30,2025-09-30,2025-12-31,2026-03-31,2026-06-30,2026-09-30,2026-12-31,2027-03-31,2027-06-30,2027-09-30,2027-12-31
Abbotsford,390.93054,395.38605,391.91498,394.61783,396.22235,397.63895,399.83478,402.9377,396.78766,397.09344,397.9565,398.29007
Albert Park,390.44934,394.8852,391.3898,394.0637,395.6364,397.01932,399.1804,402.2484,396.06256,396.33542,397.16727,397.48438
Alfredton,396.23907,400.92026,397.73422,400.7738,402.74814,404.55695,407.15567,410.66046,404.9333,405.6212,406.84634,407.36948
Altona,389.07373,393.45245,389.8813,392.46832,393.94525,395.2266,397.28363,400.24817,393.95148,394.1248,394.86243,395.12976
Armadale,389.78738,394.19528,390.66238,393.29352,394.8191,396.15195,398.26187,401.2791,395.0384,395.26224,396.0477,396.34033
Ascot Vale,392.62225,397.1461,393.76627,396.57303,398.29218,399.83044,402.1507,405.37732,399.36188,399.7869,400.76254,401.15536
Avondale Heights,390.3229,394.75223,391.2535,393.91983,395.48483,396.85953,399.01154,402.0693,395.87848,396.1438,396.9681,397.2812
Bairnsdale,400.79428,405.6653,402.72498,406.04996,408.3386,410.48068,413.4203,417.2619,411.90424,412.9157,414.44556,415.1252
Ballarat,396.45877,401.14777,397.97324,401.02502,403.01297,404.83615,407.44952,410.96854,405.25845,405.96057,407.1989,407.7289
Balwyn,390.1198,394.54172,391.02838,393.68134,395.23102,396.58948,398.72543,401.76837,395.5562,395.80518,396.61438,396.91953
Bayswater,391.5278,396.00705,392.5671,395.30585,396.94992,398.4085,400.64737,403.7934,397.6893,398.0362,398.93814,399.2922
Beaumaris,387.8093,392.13458,388.4981,391.00638,392.3972,393.58716,395.54993,398.41943,392.02762,392.112,392.76495,392.98743
Belmont,394.81927,399.4381,396.17902,399.12802,401.0034,402.7072,405.1974,408.59293,402.75632,403.3426,404.47107,404.9439
Bendigo,398.97882,403.76962,400.73572,403.94412,406.10535,408.11212,410.912,414.61374,409.11383,409.99512,411.4015,412.01822
Blackburn,390.99756,395.4556,391.98764,394.69424,396.30283,397.7238,399.92407,403.03152,396.88614,397.19617,398.06326,398.39896
Boronia,390.97827,395.4349,391.96616,394.6711,396.278,397.69714,399.8955,403.00095,396.8544,397.1628,398.02826,398.3631
Box Hill,390.92102,395.376,391.90198,394.60303,396.2053,397.61957,399.81332,402.91492,396.76068,397.064,397.9249,398.25732
Brighton East,384.0374,388.2,384.362,386.62875,387.75522,388.665,390.33893,392.91806,386.23645,386.04813,386.44144,386.52606
Broadmeadows,393.14883,397.6951,394.3431,397.18314,398.93875,400.51566,402.87573,406.1422,400.16794,400.63065,401.642,402.0536
Bulleen,390.59763,395.03925,391.55023,394.23227,395.8139,397.2063,399.37726,402.45547,396.2791,396.5612,397.4018,397.7235
Buninyong,391.37534,395.85886,392.4131,395.1543,396.79974,398.2599,400.5019,403.6523,397.53958,397.8865,398.78967,399.1444
Burwood East,389.9834,394.39893,390.87717,393.52032,395.0593,396.40637,398.5308,401.56232,395.33792,395.57584,396.3745,396.6741
Camberwell,385.13312,389.34323,385.56122,387.89725,389.0991,390.0888,391.84546,394.50845,387.90677,387.79587,388.26306,388.387
Carlton,391.74628,396.23517,392.8078,395.5611,397.2212,398.69675,400.953,404.11615,398.0305,398.39398,399.31165,399.67398
Carnegie,393.27216,397.82233,394.47687,397.3233,399.0862,400.67084,403.03864,406.31268,400.34814,400.8185,401.8371,402.2524
Carrum Downs,392.54456,397.06717,393.68304,396.48703,398.20285,399.73755,402.0545,405.27832,399.2566,399.67786,400.6502,401.0413
Castlemaine,395.53592,400.1888,396.9637,399.95975,401.88583,403.64352,406.19025,409.64386,403.8584,404.49628,405.67438,406.1731
Coburg North,390.32654,394.75656,391.2538,393.91888,395.48196,396.85464,399.00513,402.06262,395.866,396.12894,396.95126,397.26337
Collingwood,392.3734,396.88794,393.49728,396.2907,397.99527,399.51797,401.82208,405.03207,399.0003,399.41016,400.3714,400.75668
Cranbourne,390.79425,395.24435,391.7629,394.4562,396.04977,397.45486,399.6393,402.7318,396.56677,396.861,397.71332,398.04126
Dandenong North,392.9734,397.51263,394.1524,396.98233,398.72696,400.29218,402.64014,405.89435,399.90784,400.35916,401.35974,401.76566
Deer Park,393.83914,398.41296,395.0985,397.9807,399.783,401.40936,403.81995,407.13638,401.21777,401.72897,402.7861,403.2216
Delacombe,393.34763,397.91345,394.561,397.41998,399.19373,400.79,403.1735,406.4682,400.49445,400.97357,402.00278,402.42368
Docklands,390.6413,395.0848,391.59396,394.2769,395.85898,397.25183,399.42395,402.50436,396.3256,396.60782,397.44888,397.77084
Doncaster,390.25018,394.6779,391.16843,393.82858,395.3858,396.7523,398.8971,401.94977,395.74353,396.0001,396.8167,397.1258
East Melbourne,389.55887,393.95764,390.4111,393.02768,394.53702,395.8527,397.94516,400.94547,394.6848,394.8917,395.66116,395.94534
Elsternwick,391.90488,396.40015,392.9829,395.74664,397.41833,398.9062,401.1748,404.34988,398.279,398.65466,399.5837,399.95206
Eltham,390.00525,394.423,390.90088,393.54602,395.08676,396.4358,398.56253,401.59695,395.37207,395.6115,396.41187,396.71237
Elwood,391.92227,396.41855,393.00177,395.7667,397.43967,398.9288,401.19888,404.37555,398.30542,398.6823,399.61258,399.98154
Fawkner,391.26453,395.7334,392.27985,395.00296,396.6297,398.06998,400.29004,403.4172,397.29303,397.62198,398.50693,398.85205
Fitzroy,392.4389,396.95618,393.5676,396.3645,398.07278,399.59937,401.90775,405.1224,399.09384,399.50745,400.47235,400.8595
Fitzroy North,386.059,390.3089,386.57874,388.975,390.2431,391.30307,393.13174,395.86658,389.33945,389.2971,389.8295,389.98798
Flemington,392.81177,397.34335,393.97543,396.7947,398.52783,400.08087,402.41602,405.65698,399.6589,400.09848,401.0878,401.48782
Flinders,360.06424,363.13303,358.0102,358.68848,358.09933,357.2041,357.01474,357.71228,349.36105,347.47534,346.24835,345.4934
Footscray,392.36368,396.87708,393.48306,396.2739,397.9754,399.49493,401.7961,405.00385,398.9674,399.37405,400.33246,400.7162
Forest Hill,389.87863,394.2899,390.7646,393.40225,394.93533,396.27618,398.3939,401.41818,395.18848,395.42044,396.21335,396.50992
Frankston,391.1745,395.64197,392.18243,394.9017,396.5238,397.95908,400.17456,403.29785,397.1648,397.48846,398.36874,398.71143
Geelong,394.0187,398.6049,395.29987,398.19812,400.0173,401.66153,404.0912,407.42743,401.5227,402.0506,403.1241,403.5683
Greensborough,390.37827,394.81082,391.31097,393.9798,395.54688,396.92383,399.0788,402.14075,395.94836,396.21545,397.04175,397.35593
Hampton,389.05145,393.42886,389.85635,392.44153,393.9165,395.19574,397.2506,400.21292,393.91428,394.08566,394.82135,395.08768
Heidelberg West,391.26855,395.73724,392.28232,395.00458,396.6303,398.0695,400.2887,403.41534,397.28925,397.61713,398.5011,398.8457
Hughesdale,391.34387,395.81537,392.36786,395.09595,396.72858,398.17496,400.401,403.5335,397.41806,397.75327,398.64395,398.9921
Ivanhoe,386.53433,390.80396,387.10065,389.52725,390.82883,391.92422,393.7892,396.55997,390.07153,390.064,390.62933,390.80533
Keilor,391.48303,395.9611,392.5195,395.25647,396.8986,398.35513,400.5919,403.73584,397.62924,397.97412,398.87418,399.22723
