SA2_NAME,2025-03-31,2025-06-30,2025-09-30,2025-12-31,2026-03-31,2026-06-30,2026-09-30,2026-12-31,2027-03-31,2027-06-30,2027-09-30,2027-12-31
Abbotsford,403.48267,404.63556,405.6351,406.55188,406.9488,407.809,408.3208,408.63593,408.77292,408.6198,408.06845,408.29745
Albert Park,402.51724,403.58383,404.49142,405.31372,405.61682,406.3831,406.80722,407.04117,407.10416,406.88464,406.2725,406.44308
Alfredton,414.47867,416.76596,419.01678,421.2647,423.03857,425.30478,427.18423,428.81726,430.20956,431.2481,431.85922,433.19757
Altona,398.76282,399.52094,400.1004,400.58664,400.559,400.99597,401.1173,401.0756,400.89227,400.45706,399.65152,399.6356
Armadale,400.64227,401.5516,402.29074,402.93945,403.07047,403.6649,403.93,404.01825,403.95026,403.6151,402.8983,402.9683
Ascot Vale,408.21173,409.81046,411.29492,412.72015,413.63327,415.01495,416.02365,416.80746,417.3802,417.62827,417.45575,418.04547
Avondale Heights,402.8932,403.98892,404.92902,405.78574,406.1242,406.92578,407.38318,407.6478,407.73846,407.5437,406.95453,407.1463
Bairnsdale,421.67233,424.8865,428.19675,431.6121,434.6477,438.22925,441.44675,444.42673,447.1654,449.55978,451.57483,454.24716
Ballarat,414.9624,417.3071,419.62238,421.94022,423.78824,426.13116,428.08765,429.79718,431.26498,432.37817,433.0649,434.47537
Balwyn,401.66922,402.6633,403.49323,404.2355,404.45923,405.1461,405.4965,405.66275,405.66455,405.39078,404.72928,404.85242
Bayswater,405.3115,406.63138,407.8111,408.9154,409.50085,410.5507,411.2414,411.72366,412.01434,412.0009,411.5794,411.93243
Beaumaris,396.15775,396.71802,397.09186,397.37195,397.14688,397.38913,397.336,397.13916,396.8207,396.27115,395.3671,395.25397
Belmont,412.54962,414.60602,416.59863,418.56757,420.0471,422.0087,423.58487,424.9184,426.01758,426.76883,427.0906,428.15103
Bendigo,421.4212,424.56216,427.78967,431.11313,434.0491,437.52203,440.6262,443.48788,446.10364,448.36932,450.24677,452.78067
Blackburn,403.67587,404.8463,405.86456,406.8007,407.21686,408.09634,408.62625,408.95822,409.1106,408.9714,408.43286,408.67413
Boronia,403.98026,405.1772,406.22427,407.19055,407.6371,408.54712,409.10574,409.46445,409.64127,409.52414,409.00607,409.2667
Box Hill,403.4271,404.577,405.57254,406.48477,406.87656,407.73163,408.23853,408.54913,408.68204,408.52533,407.97055,408.1965
Brighton East,388.13937,388.18356,388.03308,387.80008,387.10037,386.87982,386.42844,385.89154,385.29022,384.51605,383.43143,383.129
Broadmeadows,409.2288,410.9321,412.5315,414.07852,415.11713,416.62668,417.7593,418.66208,419.3476,419.70206,419.63245,420.32034
Bulleen,403.05536,404.1698,405.12833,406.00293,406.35797,407.1762,407.64877,407.92746,408.03113,407.84802,407.26913,407.47168
Buninyong,402.864,403.96515,404.90964,405.77002,406.1106,406.91547,407.37476,407.6404,407.73145,407.5363,406.94617,407.13965
Burwood East,401.60806,402.5972,403.42175,404.15826,404.37625,405.0573,405.40237,405.56375,405.56116,405.2836,404.61862,404.73843
Camberwell,390.2915,390.4613,390.43546,390.32178,389.7291,389.61203,389.24692,388.7815,388.23764,387.5067,386.45453,386.1888
Carlton,405.61948,406.968,408.17886,409.31586,409.93445,411.0178,411.7403,412.2525,412.5708,412.5827,412.18506,412.56073
Carnegie,409.88815,411.65872,413.33252,414.95883,416.07965,417.67303,418.88733,419.86893,420.6296,421.05545,421.0554,421.80923
Carrum Downs,408.0607,409.64438,411.11276,412.5212,413.41736,414.78198,415.77405,416.54175,417.09897,417.3324,417.1458,417.7224
Castlemaine,412.1785,414.2092,416.171,418.10556,419.54733,421.47134,423.01016,424.30765,425.37274,426.0914,426.38077,427.41333
Coburg North,402.1335,403.16754,404.03992,404.82556,405.09204,405.8216,406.21158,406.41415,406.44888,406.20435,405.5693,405.7179
Collingwood,407.36456,408.87726,410.268,411.59464,412.40704,413.68643,414.5965,415.2861,415.76987,415.93466,415.68228,416.19577
Cranbourne,402.96573,404.07544,405.0276,405.8947,406.24133,407.05115,407.51562,407.7869,407.88394,407.6951,407.11063,407.30835
Dandenong North,409.15067,410.84344,412.4319,413.9677,414.9952,416.49338,417.61493,418.50687,419.18185,419.5262,419.44684,420.12518
Deer Park,411.29547,413.2144,415.05307,416.85587,418.16077,419.94257,421.34152,422.50214,423.4345,424.02463,424.18607,425.09348
Delacombe,406.2352,407.6617,408.95355,410.173,410.87195,412.03812,412.83835,413.4236,413.81018,413.88483,413.54575,413.98145
Docklands,402.53445,403.60724,404.51938,405.34494,405.64984,406.41785,406.84323,407.07846,407.14285,406.9248,406.31357,406.48575
Doncaster,402.14374,403.1802,404.05478,404.84253,405.11075,405.8422,406.23373,406.43762,406.4734,406.22968,405.59525,405.74493
East Melbourne,399.896,400.7452,401.42023,402.00317,402.06937,402.59933,402.80518,402.83972,402.72382,402.34692,401.5927,401.62677
Elsternwick,406.12415,407.51865,408.78006,409.97025,410.64328,411.7815,412.5564,413.11786,413.48196,413.53586,413.178,413.59128
Eltham,401.04926,401.9932,402.76886,403.4548,403.6222,404.25296,404.5513,404.6699,404.62894,404.31747,403.62177,403.7124
Elwood,406.0908,407.4827,408.74118,409.92825,410.59793,411.73285,412.50455,413.06305,413.42432,413.47568,413.11533,413.52637
Fawkner,404.4883,405.732,406.82928,407.84766,408.34647,409.30902,409.91714,410.322,410.5412,410.46252,409.9801,410.27493
Fitzroy,407.52066,409.0502,410.4591,411.80457,412.63602,413.93475,414.8634,415.57077,416.07126,416.25174,416.01428,416.5422
Fitzroy North,392.3642,392.66397,392.77023,392.78564,392.312,392.31088,392.04483,391.6634,391.1887,390.5119,389.50262,389.28235
Flemington,408.71103,410.35794,411.89594,413.3781,414.3503,415.792,416.85876,417.69818,418.32336,418.62076,418.49585,419.13055
Flinders,349.08435,347.97415,346.78528,345.66028,344.3136,343.4466,342.56686,341.75183,340.9971,340.20358,339.2047,338.7969
Footscray,407.45474,408.979,410.38165,411.7203,412.54446,413.83575,414.75732,415.45795,415.95236,416.12717,415.88425,416.40707
Forest Hill,401.36484,402.33215,403.13403,403.84775,404.04364,404.7027,405.02753,405.17035,405.1511,404.85876,404.1806,404.28748
Frankston,403.46753,404.62152,405.62152,406.53842,406.93488,407.7948,408.3061,408.6207,408.75717,408.60352,408.0515,408.28043
Geelong,410.0861,411.88248,413.58447,415.2407,416.3922,418.0176,419.2629,420.27435,421.0635,421.51648,421.54297,422.32336
Greensborough,402.22784,403.26996,404.15106,404.94577,405.2213,405.9599,406.3583,406.5686,406.61023,406.3718,405.74237,405.89633
Hampton,398.84314,399.60748,400.19348,400.68637,400.66522,401.10858,401.23572,401.19928,401.02057,400.58936,399.78735,399.7748
Heidelberg West,404.51947,405.76727,406.8686,407.89078,408.39313,409.35925,409.97064,410.37863,410.6008,410.52487,410.04495,410.34232
Hughesdale,404.8816,406.15945,407.29422,408.35205,408.891,409.89383,410.5402,410.98077,411.2329,411.1842,410.72983,411.05106
Ivanhoe,393.58002,393.9597,394.1479,394.24414,393.84604,393.91855,393.71646,393.39,392.96136,392.32156,391.34244,391.1531
Keilor,405.46494,406.79794,407.9925,409.11264,409.7145,410.78104,411.48758,411.9846,412.28873,412.28748,411.8776,412.24155
Keilor East,403.9261,405.11737,406.15875,407.11948,407.56082,408.46567,409.01944,409.37354,409.54593,409.4247,408.90295,409.16003
Lara,399.75992,400.60364,401.27036,401.84323,401.8975,402.41595,402.61035,402.6341,402.50842,402.1227,401.3599,401.38736
Maffra,433.922,438.83878,444.15063,449.81445,455.33456,461.46085,467.26675,472.82166,478.08908,482.98602,487.51614,492.31033
